연번,이름,성별,현재 나이,연령대,가입일,거주 지역,고객 등급,최근 구매 제품,최근 거래 금액,차량 구매 횟수,누적 구매 금액,평균 구매 금액,할부 여부,거래 방식,구매 경로,고객 충성도 지수,고객 평생 가치,생년월일,최근 구매 날짜,최근 구매 연도,구매 요일,등급
15,John Mathews,여성,61,60대,2022-05-27,미국,우수,아이오닉6,44996554,3,134989662,44996554,N,수출,온라인,87.19,142535936,1964,2023-12-29,2023,Monday,우수
16,Jessica Chapman,남성,26,20대,2025-03-27,미국,우수,HCV,29350893,3,88052679,29350893,Y,수출,오프라인,58.34,95144872,1999,2016-05-10,2016,Wednesday,우수
17,Erika Barnett,여성,55,50대,2020-12-30,미국,우수,EQ900,47230070,3,141690210,47230070,N,수출,온라인,93.38,147770994,1970,2020-08-12,2020,Friday,우수
18,Michael Meyers,남성,60,60대,2023-07-09,미국,VIP,쿠페,21821824,3,65465472,21821824,N,수출,오프라인,47.04,73318861,1965,2018-02-08,2018,Wednesday,VIP
19,Alexander Neal,여성,25,20대,2021-11-28,미국,우수,싼타페DM,28918873,3,86756619,28918873,N,수출,오프라인,94.44,89982114,2000,2022-07-19,2022,Wednesday,우수
20,Patricia Jones,여성,28,20대,2023-06-17,미국,VIP,쏘나타DN8,18750548,6,112503288,18750548,N,수출,오프라인,64.41,116503070,1997,2020-02-24,2020,Monday,VIP
21,Sylvia Harris,여성,40,40대,2024-09-19,미국,우수,투싼NX4,56484979,2,112969958,56484979,N,수출,온라인,66.36,120587466,1985,2023-10-24,2023,Tuesday,우수
22,William Moran,여성,39,30대,2022-10-16,미국,일반,쏘나타DN8,27083849,5,135419245,27083849,Y,수출,온라인,41.65,138502547,1986,2022-08-30,2022,Tuesday,일반
23,Amanda James,여성,39,30대,2024-05-07,미국,일반,더뉴아이오닉,47646617,4,190586468,47646617,N,수출,오프라인,63.18,197554591,1986,2019-04-30,2019,Thursday,일반
24,Renee Griffith,여성,38,30대,2024-01-01,미국,우수,i40,46045695,6,276274170,46045695,Y,수출,온라인,54.4,280594493,1987,2018-08-13,2018,Thursday,우수
25,Matthew Castillo,여성,27,20대,2024-02-06,미국,일반,캐스퍼,23368407,2,46736814,23368407,N,수출,온라인,60.89,54341267,1998,2022-05-13,2022,Tuesday,일반
26,Andrew Hardy,남성,55,50대,2021-06-06,미국,일반,더뉴아이오닉,26789439,4,107157756,26789439,N,수출,온라인,67.94,114913621,1970,2019-03-30,2019,Saturday,일반
27,Danielle Torres,남성,69,60대,2020-07-18,미국,우수,코나OS,54177665,5,270888325,54177665,Y,수출,오프라인,84.37,277512546,1956,2017-04-04,2017,Monday,우수
28,Kyle Bell,여성,59,50대,2020-12-28,미국,일반,투싼TL,59836968,3,179510904,59836968,Y,수출,온라인,73.11,183821243,1966,2016-01-22,2016,Saturday,일반
29,Glenda Stevenson,여성,60,60대,2021-01-25,미국,일반,코나SX2,50431532,4,201726128,50431532,N,수출,온라인,74.62,206809938,1965,2022-04-19,2022,Friday,일반
30,Caleb Collins,남성,55,50대,2020-12-29,미국,우수,벨로스터,35852416,3,107557248,35852416,N,수출,오프라인,53.57,111871152,1970,2018-01-17,2018,Saturday,우수
31,Veronica Schwartz,여성,28,20대,2022-08-24,미국,VIP,액센트,54102752,3,162308256,54102752,N,수출,온라인,56.79,170172246,1997,2023-12-14,2023,Saturday,VIP
32,Wendy Molina,여성,63,60대,2025-01-09,미국,우수,LCV,33826773,2,67653546,33826773,Y,수출,오프라인,96.98,74511101,1962,2017-04-19,2017,Sunday,우수
33,Peter Romero,남성,36,30대,2020-04-12,미국,VIP,그랜저IG,58600016,5,293000080,58600016,N,수출,온라인,58.97,300100793,1989,2018-12-18,2018,Friday,VIP
34,Audrey Shelton,남성,41,40대,2020-05-17,미국,VIP,넥쏘,36967980,2,73935960,36967980,Y,수출,온라인,94.84,78206525,1984,2023-01-02,2023,Monday,VIP
35,Ryan Hebert,여성,43,40대,2022-02-06,미국,VIP,아이오닉5,50936336,4,203745344,50936336,Y,수출,온라인,66.35,208759907,1982,2021-08-09,2021,Wednesday,VIP
36,Marcus Schneider,여성,60,60대,2022-10-06,미국,우수,그랜저,52066836,1,52066836,52066836,N,수출,온라인,70.03,56548867,1965,2023-07-10,2023,Tuesday,우수
37,Roy Bean,여성,65,60대,2024-05-18,미국,VIP,HCV,30159529,1,30159529,30159529,Y,수출,오프라인,86.06,37139901,1960,2018-09-02,2018,Wednesday,VIP
38,Elizabeth Cox,남성,34,30대,2024-10-26,미국,일반,액센트,26441973,6,158651838,26441973,N,수출,온라인,89.08,163568820,1991,2020-12-11,2020,Sunday,일반
39,Daniel Hays,여성,46,40대,2020-04-25,미국,일반,그랜저HG,53896275,1,53896275,53896275,N,수출,오프라인,68.34,61175555,1979,2016-07-08,2016,Wednesday,일반
40,Mariah Munoz,남성,42,40대,2025-01-11,미국,VIP,싼타페DM,26622677,1,26622677,26622677,N,수출,오프라인,64.18,29960589,1983,2024-03-24,2024,Monday,VIP
41,Laura Bell,여성,29,20대,2025-01-14,미국,일반,아이오닉6,18517577,4,74070308,18517577,N,수출,오프라인,69.16,77418037,1996,2023-06-27,2023,Friday,일반
42,Tracy Nash,여성,70,70대,2023-02-11,미국,VIP,코나OS,31587173,5,157935865,31587173,N,수출,오프라인,75.07,163320339,1955,2024-03-24,2024,Friday,VIP
43,Mark Stuart,남성,35,30대,2022-12-02,미국,일반,EQ900,42319724,1,42319724,42319724,Y,수출,오프라인,83.37,48475128,1990,2017-07-16,2017,Sunday,일반
44,Tammie Johnson,여성,42,40대,2023-06-20,미국,VIP,아반떼CN7,59332478,5,296662390,59332478,Y,수출,온라인,70.06,302332089,1983,2021-03-14,2021,Tuesday,VIP
45,Stephanie Hart DDS,남성,53,50대,2024-07-21,미국,VIP,GV80쿠페,27287236,5,136436180,27287236,N,수출,오프라인,79.28,142672130,1972,2019-06-21,2019,Wednesday,VIP
46,Faith Greer,남성,66,60대,2021-01-03,미국,일반,그랜저,41650952,5,208254760,41650952,Y,수출,오프라인,94.58,215893724,1959,2023-11-19,2023,Tuesday,일반
47,Andrew Cochran,여성,63,60대,2022-10-28,미국,VIP,그랜저IG,28461343,3,85384029,28461343,N,수출,오프라인,75.72,89982297,1962,2020-03-08,2020,Tuesday,VIP
48,Courtney White,남성,65,60대,2020-11-12,미국,일반,i40,23581661,3,70744983,23581661,N,수출,온라인,74.67,75715566,1960,2024-10-07,2024,Friday,일반
49,Loretta Phillips,남성,61,60대,2023-04-21,미국,VIP,벨로스터FS,32544178,3,97632534,32544178,Y,수출,오프라인,47.22,101442228,1964,2017-10-08,2017,Friday,VIP
50,John Johnson,남성,52,50대,2020-12-09,미국,일반,캐스퍼,33287697,6,199726182,33287697,Y,수출,온라인,30.54,204333010,1973,2021-08-30,2021,Saturday,일반
51,Kristin Olson,남성,42,40대,2021-12-21,미국,VIP,아반떼CN7,36266553,5,181332765,36266553,N,수출,온라인,75.83,186007509,1983,2023-11-28,2023,Sunday,VIP
52,Selena Briggs,여성,47,40대,2021-11-02,미국,일반,싼타페Long,22599753,6,135598518,22599753,Y,수출,온라인,68.58,143132164,1978,2022-01-23,2022,Monday,일반
53,Mr. Anthony Cannon,여성,54,50대,2021-05-04,미국,VIP,i30PD,39265241,6,235591446,39265241,N,수출,오프라인,62.28,239560880,1971,2019-07-21,2019,Thursday,VIP
54,Phillip Burke,여성,66,60대,2020-09-07,미국,일반,i30PD,52563757,6,315382542,52563757,N,수출,온라인,73.65,319635891,1959,2022-09-01,2022,Friday,일반
55,Amber Bass MD,남성,51,50대,2023-05-29,미국,우수,LCV,25512323,1,25512323,25512323,Y,수출,온라인,69.09,29196270,1974,2017-08-23,2017,Monday,우수
56,Lori Lyons,여성,69,60대,2023-05-30,미국,VIP,그랜저HG,38319985,4,153279940,38319985,Y,수출,오프라인,86.92,158470852,1956,2022-06-21,2022,Saturday,VIP
57,Bruce Gonzalez,남성,41,40대,2020-08-05,미국,VIP,LCV,34100473,1,34100473,34100473,Y,수출,오프라인,71.29,39379055,1984,2021-08-23,2021,Friday,VIP
58,Eric Brennan,여성,66,60대,2024-09-28,미국,VIP,아반떼CN7,40154870,2,80309740,40154870,N,수출,온라인,58.8,84282032,1959,2016-08-29,2016,Saturday,VIP
59,Andre Mckay,여성,64,60대,2021-05-23,미국,일반,아반떼CN7,26174617,2,52349234,26174617,Y,수출,온라인,84.85,56422517,1961,2021-08-03,2021,Sunday,일반
60,Brittany Howell,여성,49,40대,2024-04-15,미국,우수,LCV,46295873,6,277775238,46295873,N,수출,온라인,66.74,283179161,1976,2023-09-25,2023,Thursday,우수
61,Rebecca Ellis,여성,56,50대,2024-04-19,미국,일반,쿠페,52388891,5,261944455,52388891,Y,수출,오프라인,77.9,268994817,1969,2023-02-25,2023,Thursday,일반
62,Tony Howell,남성,43,40대,2022-06-27,미국,일반,GV60,21916614,4,87666456,21916614,Y,수출,오프라인,62.84,91077835,1982,2024-01-24,2024,Monday,일반
63,Stacey Clayton,남성,59,50대,2024-09-12,미국,일반,아반떼CN7,23172680,1,23172680,23172680,Y,수출,온라인,60.25,28929199,1966,2019-09-25,2019,Sunday,일반
64,William Taylor,여성,32,30대,2023-12-30,미국,우수,아반떼AD,19525723,2,39051446,19525723,N,수출,오프라인,71.26,45013250,1993,2021-11-09,2021,Wednesday,우수
65,William Stevenson,남성,59,50대,2023-06-10,미국,일반,G70,20860274,3,62580822,20860274,N,수출,온라인,70.19,66441585,1966,2019-10-22,2019,Sunday,일반
66,Kevin Quinn,여성,27,20대,2023-12-05,미국,일반,싼타페Long,22081896,3,66245688,22081896,Y,수출,온라인,77.2,71467982,1998,2024-03-22,2024,Sunday,일반
67,Paula Smith,남성,40,40대,2021-10-22,미국,일반,쏘나타LF,59540567,4,238162268,59540567,N,수출,오프라인,65.97,243519598,1985,2020-01-18,2020,Monday,일반
68,Jamie Gonzalez,여성,48,40대,2021-07-16,미국,VIP,i30GD,28999147,4,115996588,28999147,N,수출,온라인,42.45,120541156,1977,2022-12-31,2022,Wednesday,VIP
69,Ashley Bruce,여성,44,40대,2022-10-17,미국,일반,코나OS,40160206,6,240961236,40160206,N,수출,오프라인,63.51,245154303,1981,2018-02-14,2018,Monday,일반
70,Roberto Gray,남성,68,60대,2024-02-09,미국,VIP,코나OS,28962589,5,144812945,28962589,Y,수출,온라인,81.91,150305391,1957,2016-02-04,2016,Friday,VIP
71,Charlotte Davis,남성,35,30대,2023-12-12,미국,일반,LCV,38957660,6,233745960,38957660,Y,수출,오프라인,65.54,238242128,1990,2022-03-03,2022,Sunday,일반
72,Christopher Lam,여성,30,30대,2025-03-17,미국,VIP,펠리세이드,55538208,3,166614624,55538208,N,수출,오프라인,66.3,173043800,1995,2024-08-18,2024,Wednesday,VIP
73,Ricky Trevino,여성,33,30대,2022-04-14,미국,우수,아이오닉AE,40032086,3,120096258,40032086,Y,수출,온라인,84.8,123748612,1992,2021-05-09,2021,Saturday,우수
74,Bryan Campbell,여성,41,40대,2020-11-30,미국,우수,코나SX2,40075782,1,40075782,40075782,Y,수출,오프라인,59.32,46589748,1984,2020-05-04,2020,Friday,우수
75,Patrick Smith,남성,57,50대,2024-09-25,미국,우수,GV80,37660505,4,150642020,37660505,Y,수출,온라인,46.86,154636861,1968,2024-05-31,2024,Wednesday,우수
76,Edward Martinez,남성,25,20대,2020-10-29,미국,우수,GV80쿠페,58889925,2,117779850,58889925,Y,수출,온라인,67.59,124463664,2000,2018-10-18,2018,Tuesday,우수
77,Dana Thomas,여성,44,40대,2021-05-10,미국,일반,LCV,56323715,2,112647430,56323715,Y,수출,온라인,62.74,119738171,1981,2023-02-26,2023,Tuesday,일반
78,Timothy Proctor,여성,53,50대,2025-01-12,미국,일반,아이오닉AE,24846725,1,24846725,24846725,N,수출,오프라인,55.51,30979972,1972,2019-02-03,2019,Saturday,일반
79,Dennis Gates,남성,25,20대,2023-11-13,미국,우수,투싼NX4,33067246,4,132268984,33067246,Y,수출,온라인,67.37,135929816,2000,2020-02-09,2020,Monday,우수
80,Aaron Grimes,여성,28,20대,2024-08-22,미국,일반,베뉴,50032608,3,150097824,50032608,N,수출,오프라인,77.37,154407062,1997,2017-12-03,2017,Monday,일반
81,James Harris,여성,67,60대,2023-06-22,미국,VIP,넥쏘,54619927,1,54619927,54619927,Y,수출,온라인,69.86,59934398,1958,2022-09-15,2022,Tuesday,VIP
82,Cynthia Heath,남성,46,40대,2023-01-24,미국,VIP,아이오닉6,20926965,2,41853930,20926965,N,수출,오프라인,74.6,48847639,1979,2023-08-09,2023,Saturday,VIP
83,Christopher Rush,남성,26,20대,2021-07-24,미국,일반,GV60,44960780,5,224803900,44960780,Y,수출,온라인,97.2,232027158,1999,2020-04-28,2020,Sunday,일반
84,Jennifer Wagner,남성,60,60대,2023-10-13,미국,VIP,캐스퍼,47442227,5,237211135,47442227,Y,수출,오프라인,64.86,241154025,1965,2016-06-10,2016,Wednesday,VIP
85,Kristin Salazar,남성,39,30대,2023-01-03,미국,VIP,G70,57144783,1,57144783,57144783,Y,수출,온라인,74.18,60406239,1986,2016-07-20,2016,Monday,VIP
86,Regina Chen,여성,36,30대,2020-10-29,미국,VIP,i30GD,42409293,6,254455758,42409293,N,수출,온라인,62.36,260164976,1989,2021-06-04,2021,Thursday,VIP
87,Gregory Jones,여성,28,20대,2022-07-14,미국,VIP,G70,56484785,6,338908710,56484785,Y,수출,온라인,57.3,346745103,1997,2018-09-22,2018,Wednesday,VIP
88,Debra Rodriguez,여성,29,20대,2024-01-04,미국,VIP,그랜저IG,22638057,5,113190285,22638057,Y,수출,온라인,61.23,118105018,1996,2022-05-06,2022,Tuesday,VIP
89,James Moore,여성,37,30대,2022-02-12,미국,VIP,i40,41979214,6,251875284,41979214,N,수출,온라인,62.82,258358440,1988,2018-03-26,2018,Wednesday,VIP
90,William Rowe,여성,57,50대,2020-05-17,미국,우수,G70SB,27958937,3,83876811,27958937,Y,수출,오프라인,75.39,87650245,1968,2025-02-24,2025,Saturday,우수
91,Renee Mcdonald,남성,70,70대,2023-05-08,미국,우수,G90RS4,57757005,5,288785025,57757005,N,수출,오프라인,100.0,295541440,1955,2017-03-31,2017,Tuesday,우수
92,Elijah Beard,남성,31,30대,2024-06-12,미국,우수,아이오닉5,45832559,2,91665118,45832559,N,수출,오프라인,59.26,95277405,1994,2019-06-29,2019,Saturday,우수
93,David Edwards,여성,44,40대,2023-04-25,미국,VIP,G70SB,30096853,5,150484265,30096853,N,수출,오프라인,63.75,154032208,1981,2018-10-13,2018,Saturday,VIP
94,Bill Orr,여성,70,70대,2024-08-21,미국,VIP,i30GD,51704209,3,155112627,51704209,N,수출,오프라인,69.05,160764984,1955,2022-06-01,2022,Wednesday,VIP
95,Sean Green,여성,33,30대,2024-01-29,미국,우수,액센트,53801370,3,161404110,53801370,Y,수출,오프라인,75.94,168360342,1992,2023-07-30,2023,Friday,우수
96,Lori Collins,남성,41,40대,2023-12-02,미국,우수,HCV,30212849,6,181277094,30212849,N,수출,오프라인,73.95,185735672,1984,2016-12-03,2016,Wednesday,우수
97,Katherine Scott,남성,48,40대,2023-11-11,미국,VIP,싼타페MX5,25621297,4,102485188,25621297,Y,수출,오프라인,89.26,108582923,1977,2018-05-28,2018,Friday,VIP
98,Sara Ramirez,여성,41,40대,2022-05-06,미국,우수,싼타페DM,35528839,4,142115356,35528839,N,수출,오프라인,33.6,147766242,1984,2018-12-12,2018,Sunday,우수
99,Kimberly Cervantes,남성,49,40대,2022-10-28,미국,VIP,G80,33361822,2,66723644,33361822,Y,수출,온라인,34.2,70176501,1976,2018-03-02,2018,Sunday,VIP
100,Kristine White,여성,65,60대,2021-07-05,미국,일반,벨로스터FS,59705305,6,358231830,59705305,Y,수출,오프라인,62.56,365499827,1960,2022-03-14,2022,Wednesday,일반
101,Veronica Evans,남성,60,60대,2020-04-15,미국,일반,쿠페,41200747,6,247204482,41200747,N,수출,온라인,86.46,254862882,1965,2018-02-02,2018,Friday,일반
102,Karen Brown,남성,58,50대,2024-01-08,미국,일반,넥쏘,57763151,3,173289453,57763151,N,수출,온라인,46.52,178018496,1967,2022-02-13,2022,Saturday,일반
103,Jeffrey Holmes,여성,25,20대,2023-01-21,미국,일반,G80,20782607,6,124695642,20782607,Y,수출,온라인,24.89,130302618,2000,2017-01-14,2017,Sunday,일반
104,Jessica Reed,여성,50,50대,2023-09-23,미국,우수,i30GD,42359259,4,169437036,42359259,N,수출,오프라인,78.57,176117425,1975,2017-05-07,2017,Friday,우수
105,Terri Pierce,남성,48,40대,2020-08-03,미국,우수,투싼NX4,44629723,6,267778338,44629723,N,수출,오프라인,73.65,271950870,1977,2024-07-09,2024,Tuesday,우수
106,Mary Collins,여성,32,30대,2020-07-17,미국,일반,캐스퍼,50177019,6,301062114,50177019,Y,수출,온라인,53.65,308104879,1993,2019-03-26,2019,Friday,일반
107,Michelle Colon,남성,60,60대,2020-04-13,미국,일반,HCV,45285150,3,135855450,45285150,Y,수출,온라인,55.22,140281470,1965,2021-08-24,2021,Saturday,일반
108,Lisa Hill,여성,33,30대,2021-06-03,미국,VIP,그랜저IG,49310855,4,197243420,49310855,N,수출,온라인,55.45,203610714,1992,2016-03-05,2016,Wednesday,VIP
109,Susan Harrell,여성,55,50대,2024-05-20,미국,일반,GV60,54715311,2,109430622,54715311,Y,수출,오프라인,71.66,116665859,1970,2023-01-12,2023,Friday,일반
110,Justin Rose,여성,65,60대,2023-06-18,미국,VIP,코나OS,48588089,5,242940445,48588089,Y,수출,오프라인,60.61,246743651,1960,2019-09-29,2019,Monday,VIP
111,Jason Mccormick,여성,70,70대,2024-10-04,미국,우수,쏘나타DN8,47280851,1,47280851,47280851,N,수출,온라인,77.41,51843744,1955,2019-02-26,2019,Monday,우수
112,Bryan Young,여성,56,50대,2024-12-10,미국,VIP,i30PD,44301936,1,44301936,44301936,Y,수출,오프라인,27.18,50147276,1969,2021-07-20,2021,Saturday,VIP
113,Gina Reyes,남성,42,40대,2024-01-23,미국,우수,쏘나타DN8,47808429,4,191233716,47808429,Y,수출,온라인,57.15,199168880,1983,2023-05-19,2023,Wednesday,우수
114,Joanna Hayes,여성,70,70대,2022-07-30,미국,일반,투싼NX4,19614689,2,39229378,19614689,Y,수출,온라인,53.11,46945624,1955,2020-02-04,2020,Friday,일반
115,Brandon Wade,여성,40,40대,2021-11-10,미국,우수,쿠페,40381875,3,121145625,40381875,Y,수출,오프라인,66.15,125911365,1985,2024-07-31,2024,Monday,우수
116,Justin Haynes,여성,40,40대,2022-03-16,미국,일반,베뉴,21712596,5,108562980,21712596,Y,수출,오프라인,61.93,116005600,1985,2019-03-08,2019,Friday,일반
117,Cody Obrien,남성,46,40대,2022-11-25,미국,VIP,아이오닉6,43436990,3,130310970,43436990,Y,수출,오프라인,81.97,134704366,1979,2020-03-02,2020,Tuesday,VIP
118,Alexis Silva,여성,62,60대,2022-06-22,미국,우수,그랜저IG,48849030,1,48849030,48849030,Y,수출,오프라인,42.11,53396374,1963,2023-03-25,2023,Sunday,우수
119,Christopher Weiss,남성,29,20대,2020-09-30,미국,우수,그랜저HG,40048873,4,160195492,40048873,Y,수출,온라인,70.68,167217464,1996,2017-01-26,2017,Monday,우수
120,Christina Zamora,여성,62,60대,2021-01-23,미국,VIP,아이오닉AE,20832876,1,20832876,20832876,Y,수출,온라인,78.38,28070975,1963,2020-08-25,2020,Wednesday,VIP
121,Anthony Johnson,남성,26,20대,2021-12-07,미국,VIP,투싼LMFC,39048192,4,156192768,39048192,Y,수출,온라인,97.85,159478095,1999,2017-02-22,2017,Wednesday,VIP
122,Tonya Ryan,여성,64,60대,2024-02-20,미국,VIP,LCV,46147593,6,276885558,46147593,Y,수출,온라인,62.77,280282207,1961,2022-05-25,2022,Saturday,VIP
123,Sabrina Collins,여성,49,40대,2022-07-31,미국,VIP,i40,35682099,3,107046297,35682099,N,수출,오프라인,74.87,114279647,1976,2017-01-13,2017,Sunday,VIP
124,Roy Snyder,남성,26,20대,2020-06-19,미국,우수,아반떼CN7,26913128,2,53826256,26913128,N,수출,오프라인,42.94,59071742,1999,2020-12-01,2020,Monday,우수
125,Stephanie Moran,남성,64,60대,2025-03-03,미국,VIP,펠리세이드,21352890,3,64058670,21352890,Y,수출,오프라인,34.12,67816041,1961,2022-03-28,2022,Thursday,VIP
126,Mr. Keith Price,남성,49,40대,2024-07-05,미국,VIP,아이오닉AE,44785879,4,179143516,44785879,Y,수출,오프라인,82.67,184324170,1976,2024-05-23,2024,Friday,VIP
127,Robert Chen,남성,35,30대,2022-03-18,미국,일반,LCV,19161188,6,114967128,19161188,N,수출,오프라인,69.92,121046202,1990,2021-09-19,2021,Wednesday,일반
128,Robert Matthews,남성,38,30대,2021-11-17,미국,일반,i30PD,23749806,1,23749806,23749806,N,수출,오프라인,87.68,29770890,1987,2024-06-26,2024,Saturday,일반
129,Tyler Navarro,남성,70,70대,2020-05-01,미국,우수,그랜저,40327464,3,120982392,40327464,N,수출,온라인,49.4,125881834,1955,2021-12-22,2021,Monday,우수
130,Steve Kaufman,남성,68,60대,2023-12-06,미국,VIP,쏘나타LF,46487841,3,139463523,46487841,N,수출,오프라인,77.8,143696949,1957,2016-07-19,2016,Saturday,VIP
131,Michael Francis,여성,47,40대,2024-09-15,미국,VIP,그랜저IG,19675581,5,98377905,19675581,N,수출,온라인,98.03,104165492,1978,2021-02-06,2021,Saturday,VIP
132,Anthony Mcbride,남성,33,30대,2024-11-24,미국,VIP,그랜저IG,31691610,3,95074830,31691610,N,수출,온라인,76.3,98509298,1992,2018-02-18,2018,Saturday,VIP
133,Miss Jessica Flores,남성,56,50대,2021-03-17,미국,우수,넥쏘,41168824,4,164675296,41168824,Y,수출,온라인,74.15,171742713,1969,2024-02-25,2024,Thursday,우수
134,Craig Brown,여성,62,60대,2023-12-10,미국,VIP,i30GD,38482129,5,192410645,38482129,N,수출,온라인,70.13,195997596,1963,2024-07-01,2024,Thursday,VIP
135,Mary Wilson,여성,44,40대,2021-06-04,미국,우수,G90RS4,36734802,4,146939208,36734802,N,수출,오프라인,46.44,150083040,1981,2024-07-16,2024,Saturday,우수
136,Amanda Walker,여성,53,50대,2021-03-19,미국,일반,넥쏘,47870324,3,143610972,47870324,N,수출,오프라인,90.33,150487238,1972,2017-05-17,2017,Tuesday,일반
137,Mary Miller,여성,64,60대,2022-12-15,미국,VIP,벨로스터,59271733,4,237086932,59271733,Y,수출,오프라인,60.84,243631277,1961,2022-09-20,2022,Saturday,VIP
138,Derek Wright,남성,37,30대,2021-01-23,미국,VIP,쏘나타DN8,32976492,5,164882460,32976492,N,수출,오프라인,77.57,169310268,1988,2020-10-17,2020,Saturday,VIP
139,Kimberly Thompson,여성,50,50대,2023-03-21,미국,우수,벨로스터FS,25743314,6,154459884,25743314,N,수출,온라인,46.55,158764125,1975,2018-03-15,2018,Friday,우수
140,Samuel Campbell,여성,40,40대,2021-03-20,미국,일반,i30PD,18443533,5,92217665,18443533,Y,수출,오프라인,52.31,98302654,1985,2021-11-16,2021,Wednesday,일반
141,Adam Lopez,남성,45,40대,2022-07-17,미국,일반,아반떼CN7,28323567,5,141617835,28323567,N,수출,온라인,91.53,148557811,1980,2023-06-24,2023,Tuesday,일반
142,Eric Barber,여성,33,30대,2021-08-13,미국,우수,G90,52994780,1,52994780,52994780,Y,수출,오프라인,64.79,57478246,1992,2021-03-10,2021,Saturday,우수
143,Catherine Miller,여성,57,50대,2023-11-12,미국,일반,G90RS4,56350159,5,281750795,56350159,Y,수출,오프라인,91.8,289558489,1968,2023-08-05,2023,Saturday,일반
144,Clifford Graham,여성,68,60대,2022-03-15,미국,VIP,GV70,32966908,3,98900724,32966908,Y,수출,오프라인,68.83,106803014,1957,2020-04-19,2020,Tuesday,VIP
145,Brittany Roy,남성,32,30대,2021-11-27,미국,일반,펠리세이드,41863626,1,41863626,41863626,Y,수출,오프라인,42.37,46855240,1993,2018-08-18,2018,Tuesday,일반
146,Todd Davis,여성,26,20대,2024-03-06,미국,일반,LCV,34479377,4,137917508,34479377,N,수출,온라인,83.38,145632513,1999,2023-04-14,2023,Wednesday,일반
147,Robin Hall,남성,31,30대,2021-07-12,미국,우수,아이오닉5,49624375,1,49624375,49624375,Y,수출,온라인,61.15,55155950,1994,2020-01-25,2020,Monday,우수
148,Jennifer Moore,남성,59,50대,2024-01-19,미국,VIP,베뉴,50299001,4,201196004,50299001,N,수출,오프라인,80.48,205324937,1966,2023-05-14,2023,Sunday,VIP
149,Patricia Petersen,남성,43,40대,2021-05-27,미국,VIP,G90RS4,55235699,1,55235699,55235699,N,수출,오프라인,70.38,63117168,1982,2018-10-25,2018,Wednesday,VIP
150,Kathryn Snyder,여성,25,20대,2022-10-31,미국,일반,싼타페Long,32536039,2,65072078,32536039,N,수출,오프라인,46.85,71867582,2000,2025-01-02,2025,Wednesday,일반
